scoring	0.0 Hz	1.2 Hz	2.5 Hz	3.7 Hz	5.0 Hz	6.2 Hz	7.5 Hz	8.7 Hz	10.0 Hz	11.2 Hz	12.5 Hz	13.7 Hz	15.0 Hz	16.2 Hz	17.5 Hz	18.7 Hz	20.0 Hz	21.2 Hz	22.5 Hz	23.7 Hz	25.0 Hz	26.2 Hz	27.5 Hz	28.7 Hz	30.0 Hz	31.2 Hz	32.5 Hz	33.7 Hz	34.9 Hz	36.2 Hz	37.4 Hz	38.7 Hz	39.9 Hz	41.2 Hz	42.4 Hz	43.7 Hz	44.9 Hz	46.2 Hz	47.4 Hz	48.7 Hz	signal	motion	accelerometer
na	11.93	78.956	248.202	351.532	521.522	347.609	241.245	277.666	136.416	88.336	36.921	44.498	49.625	41.148	32.853	37.215	25.517	22.18	19.537	23.536	22.66	15.437	11.449	13.405	10.95	11.43	6.959	6.147	5.312	4.421	5.565	5.105	4.544	3.319	2.639	2.446	2.042	2.911	1.378	1.83	46.420	0.223	0.223
na	5.167	36.971	182.908	229.397	654.917	356.631	268.09	174.41	143.076	96.446	64.725	60.319	42.041	38.458	46.179	22.34	22.694	13.234	15.76	18.87	16.696	11.92	11.855	11.02	10.561	9.092	8.66	6.834	6.657	6	4.54	3.701	3.816	2.34	2.145	2.064	2.269	1.808	1.205	1.061	46.167	0.178	0.178
na	8.517	51.577	144.929	190.694	805.327	419.928	339.563	137.889	173.679	101.777	48.813	67.65	37.883	34.809	41.771	31.217	25.943	26.221	19.882	15.208	24.993	12.117	7.719	9.542	12.12	5.877	7.775	6.702	2.673	5.631	2.672	3.611	3.712	2.309	1.919	2.212	1.355	1.456	0.931	1.046	48.559	0.163	0.163
na	13.979	50.378	193.663	191.151	628.82	462.196	271.651	171.259	197.14	138.754	76.89	40.8	51.163	33.156	28.852	32.398	22.951	18.327	16.333	24.602	19.259	10.187	14.361	8.285	12.13	6.352	6.887	6.599	3.771	6.05	3.68	3.184	4.116	2.897	1.939	2.431	1.613	2.161	1.523	1.461	46.871	0.149	0.149
na	13.572	56.801	204.72	168.182	597.39	397.959	289.324	154.397	182.027	147.163	88.629	56.428	59.212	44.353	46.237	28.175	22.634	23.386	23.158	17.865	17.035	14.766	13.068	10.786	11.041	7.854	4.827	4.707	4.421	3.342	3.231	3.594	3.395	2.636	2.888	2.814	2.188	1.986	1.596	1.447	46.291	0.161	0.161
na	6.945	57.834	156.889	270.625	430.164	526.366	194.305	181.858	176.852	109.298	72.492	63.328	43.92	48.274	38.8	38.41	33.326	21.48	12.764	22.264	14.476	13.966	12.892	11.222	10.547	6.508	4.521	6.884	6.147	5.983	4.53	3.457	2.733	1.996	1.828	2.692	1.491	2.093	1.469	1.207	46.099	0.136	0.136
na	7.88	43.75	182.853	214.136	540.916	608.877	460.593	168.377	213.95	140.928	97.46	80.494	73.257	54.15	46.17	27.454	35.89	28.441	25.749	25.853	12.23	13.353	12.531	12.126	11.488	8.619	8.053	6.542	5.128	4.674	4.541	3.828	3.456	2.494	2.68	2.604	2.792	1.68	1.464	1.413	51.045	0.162	0.162
na	8.143	56.388	285.71	222.483	446.546	560.241	224.815	281.226	184.196	111.91	52.604	73.561	77.85	59.823	40.197	34.548	31.529	47.393	13.302	21.785	18.013	16.418	19.642	14.202	7.346	8.832	5.611	5.973	6.125	4.673	3.447	3.681	3.402	2.419	2.746	1.917	1.484	2.485	1.494	1.172	49.393	0.163	0.163
na	9.616	86.296	199.815	320.541	405.933	659.192	242.557	174.917	202.492	97.658	107.114	73.479	64.91	56.241	48.736	20.797	27.044	25.867	31.688	21.236	20.93	12.691	14.826	11.809	10.56	6.782	5.253	6.481	3.429	4.714	3.184	3.215	2.941	3.023	3.221	2.381	1.59	1.418	1.689	1.38	48.459	0.132	0.132
na	33.385	174.616	243.483	250.422	435.84	483.634	196.726	221.766	156.974	102.814	90.406	97.053	72.481	39.636	35.303	27.819	32.169	19.072	19.03	23.577	12.223	19.982	8.429	11.6	8.636	6.325	6.691	5.514	4.473	3.477	4.296	3.433	2.61	2.368	1.903	1.728	1.88	1.033	1.2	1.165	47.326	0.160	0.160
na	5.772	55.452	167.841	162.123	543.602	465.627	258.211	176.09	146.392	122.142	65.664	43.662	63.851	38.101	28.506	33.061	26.997	22.863	18.73	24.175	23.69	14.655	14.017	19.471	9.284	8.391	7.422	6.85	6.432	4.868	3.871	3.729	4.127	3.611	2.14	2.845	2.121	1.408	1.379	1.069	45.942	0.138	0.138
na	11.39	54.653	112.877	165.531	734.554	427.995	211.647	133.711	154.514	100.246	42.056	47.576	60.52	48.268	37.112	27.208	23.987	14.934	22.904	20.158	18.778	14.259	12.732	11.646	10.308	7.393	8.697	6.509	4.117	3.69	3.408	2.412	3.218	1.906	2.88	1.932	1.816	1.563	1.406	0.797	45.161	0.159	0.159
na	22.005	143.97	222.514	322.148	561.872	439.687	279.09	187.132	242.269	119.029	102.697	70.701	43.702	52.66	49.745	38.83	27.313	42.758	24.71	23.299	22.06	16.968	21.337	11.064	6.537	6.774	7.711	6.99	4.74	2.73	4.377	3.181	3.877	2.012	2.741	2.311	1.537	1.774	1.739	0.807	49.603	0.182	0.182
na	7.892	47.419	151.969	261.686	794.342	398.524	327.466	186.267	216.49	94.198	66.066	82.91	57.246	40.846	34.342	37.552	23.292	21.158	21.112	14.778	23.343	14.306	12.466	13.051	12.387	9.623	5.5	6.283	3.351	3.696	5.145	4.153	3.617	2.718	3.214	1.878	1.951	1.225	1.472	1.454	49.369	0.148	0.148
na	7.934	47.175	101.329	195.192	598.787	394.698	343.184	182.365	161.765	104.364	73.141	59.486	78.326	55.926	29.227	30.502	31.971	19.831	16.483	27.399	14.753	13.705	10.07	9.069	10.883	10.295	7.977	7.715	6.252	5.239	4.519	3.633	3.992	3.023	2.372	1.638	2.273	1.722	1.447	1.296	46.289	0.147	0.147
na	6.405	51.394	210.53	256.359	576.429	358.521	282.946	221.011	167.267	123.573	72.496	61.626	49.792	37.681	50.309	26.584	15.488	22.074	20.105	12.617	15.935	13.527	15.189	9.252	11.407	10.904	4.914	6.817	2.891	3.946	4.916	4.131	3.16	2.592	2.579	2.385	1.896	1.703	1.214	1.147	46.516	0.170	0.170
na	9.641	59.06	162.054	204.845	420.111	559.505	299.393	152.004	198.694	135.108	54.269	57.853	44.502	55.469	47.101	47.875	32.584	29.826	22.957	16.216	18.744	19.8	12.729	11.836	9.837	8.862	7.766	10.334	5.854	5.328	5.629	7.755	3.858	2.642	3.575	2.727	1.849	2.483	2.32	1.219	47.203	0.142	0.142
na	9.353	59.81	275.684	185.572	229.5	469.957	317.641	339.031	116.089	95.762	76.112	59.179	53.696	59.772	55.276	53.024	38.621	24.228	33.193	24.693	25.241	15.943	13.653	21.204	11.565	11.956	12.839	8.37	9.195	8.621	6.851	5.146	5.24	4.174	2.981	3.973	2.22	2.761	1.551	1.89	46.432	0.112	0.112
na	8.998	59.217	258.54	230.65	444.401	462.327	305.782	396.98	242.185	96.391	85.896	83.04	44.572	41.456	60.747	45.08	32.689	26.821	25.57	21.463	18.198	19.73	16.492	13.59	13.951	9.012	9.948	10.674	8.721	8.301	5.718	4.746	5.77	4.114	3.393	3.093	2.554	1.831	1.623	1.874	50.003	0.098	0.098
na	7.536	68.937	136.643	283.09	149.134	191.438	382.223	516.38	268.551	136.229	67.398	69.254	44.43	41.823	38.757	51.376	45.668	39.731	19.346	35.902	27.858	27.434	20.608	16.182	13.879	15.867	19.217	12.958	6.151	6.226	4.729	5.159	4.539	4.121	4.076	3.225	3.715	2.915	1.547	1.451	47.377	0.152	0.152
na	10.815	64.174	230.565	277.933	318.715	385.778	515.105	268.078	144.169	80.182	109.164	80.144	53.385	32.779	42.103	39.448	41.557	25.104	18.959	23.845	19.545	18.1	13.853	14.81	8.123	14.682	8.369	5.758	6.098	4.386	5.364	6.078	2.744	3.136	2.79	3.103	3.108	2.62	2.251	1.618	48.595	0.070	0.070
na	7.216	54.29	242.361	332.554	602.8	344.855	380.183	235.471	215.725	151.641	94.994	73.359	67.948	81.347	45.472	27.969	20.617	21.524	37.659	21.343	15.201	21.286	14.293	17.678	12.335	8.93	5.924	9.12	6.287	6.057	4.587	5.451	5.14	3.664	3.141	2.591	3.211	2.936	1.802	1.423	51.296	0.067	0.067
na	12.87	74.481	216.678	324.506	615.776	271.936	301.342	268.483	195.104	77.284	80.366	87.559	47.625	60.778	41.984	43.718	39.224	31.59	30.595	17.076	18.998	23.217	20.404	15.82	15.629	9.593	8.341	8.46	5.187	4.544	4.77	3.302	4.379	2.97	2.698	2.669	2.434	1.329	1.689	1.159	49.210	0.066	0.066
na	7.702	49.783	167.124	380.572	317.889	276.911	358.709	387.151	353.488	205.447	93.211	56.538	71.088	76.374	69.542	57.045	88.486	28.483	27.719	26.45	25.308	23.344	24.167	15.918	16.694	18.383	11.724	12.674	8.194	9.25	5.517	6.234	5.846	4.966	4.363	3.458	3.913	2.576	1.938	2.157	51.091	0.123	0.123
na	4.141	62.994	117.931	346.187	387.567	401.642	336.935	381.771	404.486	124.952	130.987	96.796	51.291	54.849	59.722	43.813	49.522	38.744	30.767	28.387	25.866	22.863	23.558	14.115	14.01	16.371	15.376	9.84	9.102	6.53	6.409	5.777	5.623	5.055	2.47	3.55	3.209	1.931	1.61	2.226	51.549	0.115	0.115
na	8.728	51.297	148.676	150.284	264.502	279.055	426.664	462.495	433.421	77.386	80.981	53.053	52.682	35.566	62.609	47.959	58.432	31.231	33.839	24.863	32.9	24.202	30.512	14.397	15.509	16.209	15.102	10.949	13.94	7.073	5.748	4.792	5.855	5.639	4.986	2.914	3.471	2.113	2.275	1.775	49.372	0.137	0.137
na	19.263	146.788	488.152	200.59	243.91	254.135	299.408	463.928	369.589	152.59	113.87	76.186	67.723	57.837	30.067	53.437	65.4	34.243	25.896	16.972	23.573	26.033	17.886	19.915	23.996	14.143	13.329	10.377	5.953	6.353	5.474	6.072	3.936	4.581	2.467	3.427	2.789	1.915	2.307	1.84	52.220	0.133	0.133
na	8.903	58.689	330.956	264.892	275.324	420.981	413.691	563.016	249.423	139.006	59.966	48.24	46.827	42.167	35.665	41.231	83.341	31.747	30.214	17.353	32.311	15.485	15.249	13.933	24.206	14.713	12.577	15.838	9.963	6.979	8.851	6.655	6.841	4.295	5.968	3.891	3.849	2.93	1.323	1.95	52.029	0.124	0.124
na	12.253	100.323	287.387	367.157	346.726	352.814	525.257	509.503	404.833	105.86	105.003	58.239	49.655	76.115	55.645	55.22	103.675	31.648	19.883	29.334	23.168	20.236	24.015	29.01	29.405	8.533	9.39	5.693	6.402	7.765	6.525	8.991	6.507	4.242	3.234	2.392	1.385	1.982	1.37	2.236	55.214	0.109	0.109
na	11.494	103.084	259.376	291.122	315.358	313.975	348.485	578.379	294.228	121.473	92.083	87.738	52.032	54.083	44.001	38.505	89.963	28.853	31.853	22.025	23.757	25.8	19.705	26.076	27.829	14.719	21.482	20.284	10.82	14.024	4.546	6.718	8.317	4.729	5.146	4.605	2.943	1.647	2.466	1.792	52.872	0.140	0.140
na	15.633	101.496	303.986	288.792	212.85	386.513	409.516	560.547	496.21	128.208	85.797	50.246	63.331	35.966	43.779	46.552	98.528	30.518	41.684	34.885	30.835	21.695	18.181	26	25.778	12.043	13.066	11.442	7.221	8.852	4.253	8.168	6.512	6.385	4.278	3.697	3.24	2.146	2.196	1.861	54.684	0.151	0.151
na	10.849	74.185	259.11	423.785	406.386	431.023	344.809	323.769	261.458	103.012	71.918	71.763	53.042	50.051	69.26	39.282	68.372	24.299	38.042	24.437	27.489	17.72	25.984	10.936	22.716	14.872	15.737	6.755	11.514	5.408	7.895	6.342	8.922	3.709	2.728	3.054	3.038	1.778	3.133	1.319	51.861	0.109	0.109
na	7.284	65.564	218.593	255.25	326.015	275.877	407.604	468.498	462.885	174.429	85.872	81.625	81.832	39.768	37.116	47.814	58.137	32.098	23.963	33.278	28.181	19.984	19.962	20.566	23.195	13.664	12.266	10.623	8.865	11.696	9.49	5.187	6.33	4.308	3.714	2.981	3.75	2.281	2.603	2.237	52.355	0.115	0.115
na	5.568	62.521	266.605	339.568	369.573	447.011	377.349	602.174	296.823	163.711	57.614	60.559	71.825	60.515	34.157	34.765	68.984	28.517	25.869	16.854	20.114	23.441	17.695	11.714	18.269	12.148	12.988	12.84	9.939	6.31	6.488	4.44	5.512	5.801	4.345	3.483	2.569	2.405	2.099	2.393	53.459	0.132	0.132
na	20.336	123.047	217.263	343.073	452.377	503.388	479.129	394.396	299.449	106.403	73.663	48.965	50.923	52.251	44.196	31.052	48.558	22.31	34.806	31.606	19.098	29.501	19.087	23.237	19.893	14.972	9.84	8.237	6.515	5.88	10.725	3.769	4.663	5.006	3.546	3.193	3.001	1.702	1.91	1.944	54.073	0.136	0.136
na	12.993	90.095	249.098	324.736	403.039	478.377	429.16	295.499	164.475	72.837	65.207	67.619	60.26	47.797	35.525	42.137	58.362	21.7	26.179	29.203	19.133	19.147	17.987	15.688	16.719	9.009	9.297	9.835	8.213	6.237	6.468	7.269	4.176	3.308	2.994	2.853	1.621	2.228	1.907	1.822	50.562	0.097	0.097
na	13.163	71.953	243.236	596.325	761.67	605.793	425.894	208.749	166.877	139.65	105.735	79.538	49.032	48.186	70.119	31.964	70.183	27.112	27.549	18.626	19.565	15.782	16.955	19.463	10.97	16.939	12.125	9.279	7.571	4.441	4.034	6.144	5.244	3.68	2.466	1.946	2.991	1.714	1.442	2.011	56.485	0.085	0.085
na	18.591	93.167	174.774	637.389	582.336	344.079	395.297	404.597	277.599	103.327	86.091	50.902	96.425	64.515	48.419	45.094	66.133	32.884	30.051	25.912	22.969	17.635	14.054	16.678	20.234	11.661	11.317	6.359	6.241	5.449	5.917	5.253	5.521	4.916	3.301	3.209	2.048	2.274	1.886	1.924	54.721	0.077	0.077
na	13.113	85.93	360.192	245.289	523.012	445.723	419.95	304.559	224.725	91.283	63.88	72.119	57.643	56.085	45.009	56.248	86.906	34.524	32.386	31.785	32.316	21.976	15.296	20.649	19.373	17.075	10.768	9.342	7.729	6.927	7.575	8.458	5.983	5.386	3.787	4.189	3.663	2.089	2.111	1.799	53.101	0.140	0.140
na	10.984	62.424	308.633	574.57	569.212	532.101	386.104	245.666	272.916	98.203	75.499	86.7	68.425	57.555	46.979	34.446	96.094	39.939	30.585	22.449	13.249	21.271	15.915	19.421	27.774	16.796	12.511	13.071	7.715	5.248	5.252	5.107	8.184	5.427	3.483	3.225	2.304	1.937	2.308	2.036	55.025	0.094	0.094
na	18.73	100.722	218.959	578.763	333.214	613.896	308.853	262.24	197.387	112.21	145.067	109.34	35.753	47.719	46.883	60.165	54.241	44.266	29.932	22.862	20.593	21.109	14.332	16.756	18.74	12.649	9.501	6.853	7.718	5.821	4.144	6.103	5.186	4.549	3.168	3.213	2.061	2.26	1.633	1.162	53.085	0.097	0.097
na	11.13	66.343	183.87	364.706	477.018	422.875	275.481	228.017	267.885	126.823	95.208	66.882	72.879	44.037	36.509	35.373	37.659	35.765	31.615	16.769	38.254	19.171	8.267	11.555	11.27	8.033	10.494	8.205	8.203	6.056	6.19	4.205	2.493	3.254	2.622	2.059	2.201	1.73	2.879	0.973	49.805	0.102	0.102
na	7.814	71.653	265.032	329.35	385.289	366.318	317.943	247.358	273.783	87.922	75.31	36.417	40.436	48.461	36.784	38.396	52.032	28.557	28.788	30.254	29.794	15.92	18.251	19.019	10.105	10.83	13.14	8.888	6.227	7.074	7.236	6.128	3.396	4.113	4.034	3.011	3.069	2.289	2.406	1.723	48.749	0.170	0.170
